t_sec,score,back_angle,head_fwd,shoulder_tilt,neck_angle,sitting,shrug,distracted
4.9,37,172.78,-23.32,14.75,154.09,0,1,0
5.9,26,173.31,-49.1,26.68,157.55,0,1,0
6.9,37,173.21,-23.48,15.75,151.16,0,1,0
7.8,37,173.04,-24.51,14.9,149.69,0,1,0
8.9,35,172.93,-34.84,12.93,156.57,0,1,0
9.8,31,172.86,-30.82,25.56,154.43,0,1,0
10.8,25,173.05,-25.37,44.58,150.0,0,1,0
11.9,38,172.81,-24.28,12.77,143.35,0,1,0
13.0,47,172.68,-3.4,3.7,141.89,0,1,0
13.9,36,173.41,-19.59,19.44,143.67,0,1,0
15.0,40,172.63,-25.74,6.46,153.2,0,1,0
15.9,46,174.05,0.93,7.83,150.92,0,1,0
16.8,43,173.04,-13.8,7.63,151.03,0,1,0
17.8,45,173.85,2.08,9.48,150.62,0,1,0
18.8,45,173.14,-13.31,2.13,150.67,0,1,0
19.8,35,173.38,-44.54,7.14,156.61,0,1,0
20.7,36,173.72,-16.89,22.81,148.69,0,1,0
21.7,31,174.09,-27.57,28.77,151.78,0,1,0
22.7,37,173.22,-31.37,9.33,154.48,0,1,0
23.7,37,173.31,-12.95,22.46,147.78,0,1,0
24.6,39,173.08,-14.35,16.22,147.67,0,1,0
25.6,38,172.76,-18.24,15.99,148.0,0,1,0
26.9,38,173.17,-26.77,11.45,152.99,0,1,0
28.0,38,173.2,-18.81,16.68,148.55,0,1,0
28.9,41,172.94,-29.5,0.46,152.32,0,1,0
