t_sec,score,back_angle,head_fwd,shoulder_tilt,neck_angle,sitting,shrug,distracted
1.8,77,7.52,-18.29,27.0,33.12,1,0,0
2.8,76,7.55,-20.63,28.95,33.65,1,0,0
3.8,78,7.16,-24.59,21.19,33.2,1,0,0
5.2,85,6.94,-12.7,12.68,28.43,1,0,0
6.7,89,6.08,-5.4,10.09,28.66,1,0,0
8.0,91,5.63,-1.86,8.02,31.46,1,0,0
9.2,91,6.44,-8.41,0.52,27.55,1,0,0
10.3,89,6.49,-5.27,8.04,28.94,1,0,0
11.4,83,4.86,-12.43,21.5,35.99,1,0,0
12.4,82,4.92,-9.16,27.01,34.84,1,0,0
13.4,84,6.97,-4.75,18.76,35.13,1,0,0
14.3,80,7.59,-15.68,21.29,32.95,1,0,0
15.4,84,2.55,25.92,16.61,11.36,1,0,0
16.4,79,9.82,10.52,22.45,34.45,1,0,0
17.4,45,4.95,118.5,73.99,2.43,1,0,0
18.6,43,7.27,130.79,92.15,4.23,1,0,0
19.9,42,8.23,127.59,75.68,7.21,1,0,0
21.2,43,7.66,119.48,62.32,7.71,1,0,0
22.3,54,7.17,78.95,45.2,10.8,1,0,0
23.3,80,7.09,-16.33,21.98,30.8,1,0,0
24.3,90,6.64,-11.19,2.12,29.34,1,0,0
25.2,91,6.55,-5.43,3.69,27.62,1,0,0
26.2,42,8.32,111.38,62.2,4.87,1,0,0
27.3,42,8.38,111.27,58.54,7.7,1,0,0
28.7,78,7.67,33.85,12.41,24.0,1,0,0
30.0,61,6.37,-63.06,38.16,45.88,1,0,0
31.0,79,6.73,-44.18,6.74,38.12,1,0,0
32.0,80,7.61,-42.45,2.07,38.63,1,0,0
33.0,81,7.11,-42.4,1.8,39.53,1,0,0
33.9,82,6.33,25.41,12.35,22.51,1,0,0
34.9,81,6.79,25.84,12.3,21.16,1,0,0
36.0,90,7.45,9.19,1.85,28.92,1,0,0
37.1,84,5.28,24.5,9.19,21.86,1,0,0
38.5,75,6.36,32.32,25.19,21.76,1,0,0
